,name,rank,target,type,base_damage,upgraded_damage,base_crit,upgraded_crit,base_self,upgraded_self,base_cooldown,upgraded_cooldown,base_effect,upgraded_effect,target_restriction,notes,hero_id,base_uses,upgraded_uses,path_name,skill_name,hero_name
304,Ministrations (Chaplain),..oo,oooo,buff,,,0.0,0.0,,,1,0,Remove {{DoT2}}{{Daze2}}{{StunToken}}," Remove {{DoT2}}{{Daze2}}{{StunToken}}<br /> <span class""buff-dd2"">+30%</span> RES per Token type removed }}",,,Vest,inf,inf,Chaplain,Ministrations,Vestal
305,Mace Bash,..oo,oo..,melee,4-6,6-8,0.05,0.1,,,0,0," {{Conviction}}{{Conviction}}: Ignore {{Block}}{{Dodge}}{{Guarded}}<br /> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+100%</span> DMG }}",,,,Vest,inf,inf,Wanderer,Mace Bash,Vestal
306,Sanctuary,oooo,oooo,buff,,,0.0,0.0, {{Block|2}} }},,1,0,{{Guard2|2}}, {{Guard2|2}}<br /> {{Stress2}} 5+: {{Stress2|-2}},Ally,,Vest,inf,inf,Wanderer,Sanctuary,Vestal
307,Sanctuary (Chaplain),oooo,oooo,buff,,,0.0,0.0,{{Block|2}},{{Block}}{{Block+}} }},1,0,{{Guard2|2}},{{Guard2|3}},Ally,,Vest,inf,inf,Chaplain,Sanctuary,Vestal
308,Consecration of Light,oooo,oooo,buff,,,0.0,0.0,,,3,0,{{ConLight}},{{ConLight+}} }},,,Vest,inf,inf,Wanderer,Consecration of Light,Vestal
309,Consecration of Light (Seraph),oooo,oooo,buff,,,0.0,0.0,,,5,0,{{ConLight}},{{ConLight+}} }},,,Vest,inf,inf,Seraph,Consecration of Light,Vestal
310,Divine Comfort,ooo.,o-o-o-o,heal,,,0.0,0.0,,,4,0,{{Regen|2}},{{Regen|3}} }},,,Vest,inf,inf,Wanderer,Divine Comfort,Vestal
311,Mantra,oooo,o-o-o-o,heal,,,0.0,0.0,,,0,0," Requires Target has <span class""buff-dd2"">Consecration</span><br /> <span class""heal-dd2"">Heal 10%</span><br> {{Conviction}}{{Conviction}}: <span class""buff-dd2"">+10%</span> Healed<br /> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+10%</span> Healed"," Requires Target has <span class""buff-dd2"">Consecration</span><br /> <span class""heal-dd2"">Heal 10%</span><br> {{Conviction}}{{Conviction}}: <span class""buff-dd2"">+20%</span> Healed<br /> {{Conviction}}{{Conviction}}{{Conviction}}: Triggers the effect of any <span class""buff-dd2"">Consecration</span> }}",,,Vest,inf,inf,Wanderer,Mantra,Vestal
312,Mantra (Confessor),oooo,o-o-o-o,heal,,,0.0,0.0,,,3,0," Requires Target has <span class""debuff-dd2"">Negative</span> Token<br /> <span class""heal-dd2"">Heal 10%</span><br> {{Conviction}}{{Conviction}}: Remove 2 <span class""debuff-dd2"">Negative</span> Tokens<br> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+10%</span> Healed"," Requires Target has <span class""debuff-dd2"">Negative</span> Token<br /> <span class""heal-dd2"">Heal 10%</span><br> {{Conviction}}{{Conviction}}: Remove 3 <span class""debuff-dd2"">Negative</span> Tokens<br> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+15%</span> Healed }}",,,Vest,inf,inf,Confessor,Mantra,Vestal
313,Mantra (Chaplain),oooo,self,heal,,,0.0,0.0," <span class""heal-dd2"">Heal 10%</span><br> {{Conviction}}{{Conviction}}: <span class""buff-dd2"">+10%</span> Healed<br> {{Conviction}}{{Conviction}}{{Conviction}}: {{Stress2|-2}}"," <span class""heal-dd2"">Heal 10%</span><br> {{Conviction}}{{Conviction}}: <span class""buff-dd2"">+20%</span> Healed<br> {{Conviction}}{{Conviction}}{{Conviction}}: {{Stress2|-2}}<br> Heroes with {{Guard2}} also receive 50% of these effects",2,0,,,,"When using the upgraded version of the skill, the Vestal herself may be guarded, so she can receive 150% of the skill's effects. }}",Vest,inf,inf,Chaplain,Mantra,Vestal
314,Mantra (Seraph),oo..,o-o-o-o,heal,,,0.0,0.0,,,0,0," Requires Target has <span class""buff-dd2"">Consecration</span><br /> <span class""heal-dd2"">Heal 30%</span><br /> Remove <span class""buff-dd2"">Consecration</span>"," Requires Target has <span class""buff-dd2"">Consecration</span><br /> <span class""heal-dd2"">Heal 50%</span><br /> Remove <span class""buff-dd2"">Consecration</span> }}",,,Vest,inf,inf,Seraph,Mantra,Vestal
300,Divine Grace,oo..,oooo,heal,,,0.0,0.0,,,2,0," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 20%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span>"," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 30%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span>, <span class""buff-dd2"">+10%</span> CRIT }}",,,Vest,inf,inf,Confessor,Divine Grace,Vestal
301,Consecration of Fortitude,oooo,oooo,buff,,,0.0,0.0,,,3,0,{{ConFort}},{{ConFort+}} }},,,Vest,inf,inf,Confessor,Consecration of Fortitude,Vestal
303,Ministrations,oo..,oooo,buff,,,0.0,0.0,,,1,0,Remove {{DoT2}}{{Daze2}}{{StunToken}}," Remove {{DoT2}}{{Daze2}}{{StunToken}}<br /> <span class""buff-dd2"">+30%</span> RES per Token type removed }}",,,Vest,inf,inf,Confessor,Ministrations,Vestal
305,Mace Bash,..oo,oo..,melee,4-6,6-8,0.05,0.1,,,0,0," {{Conviction}}{{Conviction}}: Ignore {{Block}}{{Dodge}}{{Guarded}}<br /> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+100%</span> DMG }}",,,,Vest,inf,inf,Confessor,Mace Bash,Vestal
306,Sanctuary,oooo,oooo,buff,,,0.0,0.0, {{Block|2}} }},,1,0,{{Guard2|2}}, {{Guard2|2}}<br /> {{Stress2}} 5+: {{Stress2|-2}},Ally,,Vest,inf,inf,Confessor,Sanctuary,Vestal
308,Consecration of Light,oooo,oooo,buff,,,0.0,0.0,,,3,0,{{ConLight}},{{ConLight+}} }},,,Vest,inf,inf,Confessor,Consecration of Light,Vestal
310,Divine Comfort,ooo.,o-o-o-o,heal,,,0.0,0.0,,,4,0,{{Regen|2}},{{Regen|3}} }},,,Vest,inf,inf,Confessor,Divine Comfort,Vestal
296,Illumination,oooo,oooo,ranged,,,0.05,0.0,,,0,0,  Ignore {{Stealth2}}{{Dodge}}<br /> {{Daze2}}<br> Remove {{Stealth2}}{{Dodge}}, {{Daze2}}<br /> Ignore {{Stealth2}}{{Dodge}}<br /> Remove {{Stealth2}}{{Dodge}}<br /> {{Debuff2}} Cannot Gain {{Dodge}} (2 Rounds) }},,,Vest,inf,inf,Chaplain,Illumination,Vestal
298,Judgement,oo..,oooo,ranged,3-5,4-7,0.05,0.0,,,0,0," {{Conviction}}{{Conviction}}: Deals <span class""buff-dd2"">+100%</span> DMG<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Burn2|3}}"," {{Conviction}}{{Conviction}}: Deals <span class""buff-dd2"">+100%</span> DMG<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Burn2|4}} }}",,,Vest,inf,inf,Chaplain,Judgement,Vestal
300,Divine Grace,oo..,oooo,heal,,,0.0,0.0,,,2,0," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 20%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span>"," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 30%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span>, <span class""buff-dd2"">+10%</span> CRIT }}",,,Vest,inf,inf,Chaplain,Divine Grace,Vestal
301,Consecration of Fortitude,oooo,oooo,buff,,,0.0,0.0,,,3,0,{{ConFort}},{{ConFort+}} }},,,Vest,inf,inf,Chaplain,Consecration of Fortitude,Vestal
305,Mace Bash,..oo,oo..,melee,4-6,6-8,0.05,0.1,,,0,0," {{Conviction}}{{Conviction}}: Ignore {{Block}}{{Dodge}}{{Guarded}}<br /> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+100%</span> DMG }}",,,,Vest,inf,inf,Chaplain,Mace Bash,Vestal
308,Consecration of Light,oooo,oooo,buff,,,0.0,0.0,,,3,0,{{ConLight}},{{ConLight+}} }},,,Vest,inf,inf,Chaplain,Consecration of Light,Vestal
310,Divine Comfort,ooo.,o-o-o-o,heal,,,0.0,0.0,,,4,0,{{Regen|2}},{{Regen|3}} }},,,Vest,inf,inf,Chaplain,Divine Comfort,Vestal
293,Hand of Light,.ooo,ooo.,melee,2-3,3-4,0.05,0.0,{{Strength}}{{Block}}," {{Strength}}{{Block}}<br /> <span class""buff-dd2"">Random Adjacent Ally:</span> {{Strength}} }}",0,0,,,,,Vest,inf,inf,Seraph,Hand of Light,Vestal
296,Illumination,oooo,oooo,ranged,,,0.05,0.0,,,0,0,  Ignore {{Stealth2}}{{Dodge}}<br /> {{Daze2}}<br> Remove {{Stealth2}}{{Dodge}}, {{Daze2}}<br /> Ignore {{Stealth2}}{{Dodge}}<br /> Remove {{Stealth2}}{{Dodge}}<br /> {{Debuff2}} Cannot Gain {{Dodge}} (2 Rounds) }},,,Vest,inf,inf,Seraph,Illumination,Vestal
298,Judgement,oo..,oooo,ranged,3-5,4-7,0.05,0.0,,,0,0," {{Conviction}}{{Conviction}}: Deals <span class""buff-dd2"">+100%</span> DMG<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Burn2|3}}"," {{Conviction}}{{Conviction}}: Deals <span class""buff-dd2"">+100%</span> DMG<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Burn2|4}} }}",,,Vest,inf,inf,Seraph,Judgement,Vestal
300,Divine Grace,oo..,oooo,heal,,,0.0,0.0,,,2,0," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 20%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span>"," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 30%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span>, <span class""buff-dd2"">+10%</span> CRIT }}",,,Vest,inf,inf,Seraph,Divine Grace,Vestal
303,Ministrations,oo..,oooo,buff,,,0.0,0.0,,,1,0,Remove {{DoT2}}{{Daze2}}{{StunToken}}," Remove {{DoT2}}{{Daze2}}{{StunToken}}<br /> <span class""buff-dd2"">+30%</span> RES per Token type removed }}",,,Vest,inf,inf,Seraph,Ministrations,Vestal
305,Mace Bash,..oo,oo..,melee,4-6,6-8,0.05,0.1,,,0,0," {{Conviction}}{{Conviction}}: Ignore {{Block}}{{Dodge}}{{Guarded}}<br /> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""buff-dd2"">+100%</span> DMG }}",,,,Vest,inf,inf,Seraph,Mace Bash,Vestal
306,Sanctuary,oooo,oooo,buff,,,0.0,0.0, {{Block|2}} }},,1,0,{{Guard2|2}}, {{Guard2|2}}<br /> {{Stress2}} 5+: {{Stress2|-2}},Ally,,Vest,inf,inf,Seraph,Sanctuary,Vestal
310,Divine Comfort,ooo.,o-o-o-o,heal,,,0.0,0.0,,,4,0,{{Regen|2}},{{Regen|3}} }},,,Vest,inf,inf,Seraph,Divine Comfort,Vestal
269,Searing Strike,..oo,oo..,melee,3-6,4-7,0.05,0.1,,,0,0, {{Burn2|2}} or {{Burn2|4}} when Target {{Combo}}, {{Burn2|3}} or {{Burn2|6}} when Target {{Combo}},,,Run,inf,inf,Wanderer,Searing Strike,Runaway
270,Searing Strike (Arsonist),..oo,oo..,melee,3-4,3-5,0.15,0.2,,,0,0, {{Burn2|pierce|+33}}<br>{{Burn2|2}} or {{Burn2|4}} when Target {{Combo}}, {{Burn2|pierce|+33}}<br />{{Burn2|3}} or {{Burn2|6}} when Target {{Combo}} }},,,Run,inf,inf,Arsonist,Searing Strike,Runaway
271,Searing Strike (Survivor),..oo,oo..,melee,3-6,4-7,0.05,0.1,,,0,0, {{Burn2|pierce|-20}}<br>{{Burn2|2}} or {{Burn2|4}} when Target {{Combo}}, {{Burn2|pierce|-20}}<br>{{Burn2|3}} or {{Burn2|6}} when Target {{Combo}} }},,,Run,inf,inf,Survivor,Searing Strike,Runaway
272,Firefly,oo..,.ooo,ranged,2-4,3-4,0.05,0.1,,,0,0," {{Burn2|3}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Burn2|5}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}",,,Run,inf,inf,Wanderer,Firefly,Runaway
273,Firefly (Arsonist),oo..,.ooo,ranged,1-3,2-3,0.15,0.2,,,0,0," {{Burn2|pierce|+33}}<br>{{Burn2|3}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Burn2|pierce|+33}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span> {{Burn2|3}}<br>When Target {{Combo}} }}",,,Run,inf,inf,Arsonist,Firefly,Runaway
274,Firefly (Survivor),oo..,.ooo,ranged,2-4,3-4,0.05,0.1,,,0,0," {{Burn2|pierce|-20}}<br>{{Burn2|3}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Burn2|pierce|-20}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}} }}",,,Run,inf,inf,Survivor,Firefly,Runaway
275,Smokescreen,oooo,ooo.,ranged,,,0.05,0.1,,,1,0,"{{Blind}}, {{Combo}}","{{Blind|2}}, {{Vuln}}, {{Combo}}",,,Run,inf,inf,Wanderer,Smokescreen,Runaway
276,Run and Hide,oooo,self,buff,,,0.0,0.0, {{Regen|3}}<br>{{Stealth2|2}}<br>{{Move2|back|1}}, {{Regen|3}}<br>{{Stealth2|2}}<br>Remove {{DoT2}}<br>{{Move2|back|1}},2,0,,,,,Run,inf,inf,Wanderer,Run and Hide,Runaway
277,Run and Hide (Survivor),oooo,self,buff,,,0.0,0.0, {{Regen|5}}<br>{{Stealth2|2}}<br>{{Move2|back|1}}, {{Regen|5}}<br>{{Stealth2|2}}<br>Remove {{DoT2}}<br<{{Move2|back|1}} }},2,0,,,,,Run,inf,inf,Survivor,Run and Hide,Runaway
278,Hearthlight,oooo,o-o-o-o,buff,,,0.0,0.0,, {{Blind|ignore}}<br /> Allies: {{Blind|remove}},1,0, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}<br /> {{Combo}} (25%),,,Run,inf,inf,Wanderer,Hearthlight,Runaway
279,Ransack,oooo,.ooo,melee,3-6,4-8,0.05,0.1,{{Move2|forward|1}},,0,0," {{Move2|pull|1}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Move2|pull|2}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}",,,Run,inf,inf,Wanderer,Ransack,Runaway
280,Ransack (Arsonist),oooo,.ooo,melee,3-4,3-6,0.15,0.2,{{Move2|forward|1}},,0,0," {{Burn2|pierce|+33}}<br>{{Move2|pull|1}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Burn2|pierce|+33}}<br>{{Move2|pull|1}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}} }}",,,Run,inf,inf,Arsonist,Ransack,Runaway
281,Ransack (Survivor),oooo,.ooo,melee,3-6,4-8,0.05,0.1,{{Move2|forward|1}},,0,0," {{Burn2|pierce|-20}}<br>{{Move2|pull|1}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}}"," {{Burn2|pierce|-20}}<br>{{Move2|pull|1}}<br><span class""debuff-dd2"">Random Adjacent Enemy:</span><br>{{Burn2|3}} When Target {{Combo}} }}",,,Run,inf,inf,Survivor,Ransack,Runaway
282,Cauterize,ooo.,oooo,heal,,,0.0,0.0,,,0,0, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|25%}}, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|33%}},,,Run,3.0,inf,Wanderer,Cauterize,Runaway
283,Cauterize (Survivor),ooo.,oooo,heal,,,0.0,0.0,,,0,0, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|37%}}, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|50%}} }},,,Run,3.0,inf,Survivor,Cauterize,Runaway
284,Controlled Burn,.ooo,oooo,ranged,,,0.05,0.0,,,3,0," {{Stealth2|ignore}}<br /> {{Burn2|3}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn}}"," {{Stealth2|ignore}}<br /> {{Burn2|4}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn+}}",,,Run,inf,inf,Wanderer,Controlled Burn,Runaway
285,Controlled Burn (Arsonist),.ooo,oooo,ranged,,,0.15,0.0,,,3,0," {{Burn2|pierce|+33}}<br> {{Stealth2|ignore}}<br /> {{Burn2|3}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn}}"," {{Burn2|pierce|+33}}<br /> {{Stealth2|ignore}}<br /> {{Burn2|4}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn+}} }}",,,Run,inf,inf,Arsonist,Controlled Burn,Runaway
286,Controlled Burn (Survivor),.ooo,oooo,ranged,,,0.05,0.0,,,3,0," {{Burn2|pierce|-20}}<br /> {{Stealth2|ignore}}<br /> {{Burn2|3}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn}}"," {{Burn2|pierce|-20}}<br /> {{Stealth2|ignore}}<br /> {{Burn2|4}}<br /> <span class""buff-dd2"">Apply on Attack:</span> {{ControlledBurn}} }}",,,Run,inf,inf,Survivor,Controlled Burn,Runaway
287,Dragonfly,..oo,o-o..,ranged,1-2,1-3,0.05,0.0,{{Move2|back|1}},,0,0, {{Burn2|2}}<br /> {{Combo}} (25%), {{Burn2|4}}<br /> {{Combo}} (33%),,,Run,inf,inf,Wanderer,Dragonfly,Runaway
288,Dragonfly (Arsonist),..oo,o-o..,ranged,1-2,1-2,0.15,0.0,{{Move2|back|1}},,0,0, {{Burn2|pierce|+33}}<br /> {{Burn2|2}}<br /> {{Combo}} (25%), {{Burn2|pierce|+33}}<br /> {{Burn2|4}}<br /> {{Combo}} (33%) }},,,Run,inf,inf,Arsonist,Dragonfly,Runaway
289,Dragonfly (Survivor),..oo,o-o..,ranged,1-2,1-3,0.05,0.0,{{Move2|back|1}},,0,0, {{Burn2|pierce|-20}}<br /> {{Burn2|2}}<br /> {{Combo}} (25%), {{Burn2|pierce|-20}}<br /> {{Burn2|4}}<br /> {{Combo}} (33%) }},,,Run,inf,inf,Survivor,Dragonfly,Runaway
290,Firestarter,oooo,oooo,buff,,,0.0,0.0,,,2,0," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|2}} (3 Turns)"," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|3}} (3 Turns)",Ally,,Run,2.0,inf,Wanderer,Firestarter,Runaway
291,Firestarter (Orphan),oooo,oooo,buff,,,0.0,0.0,{{Crit}} }},,2,0," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|2}} (3 Turns)"," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|3}} (3 Turns)",Ally,,Run,2.0,inf,Orphan,Firestarter,Runaway
292,Backdraft,..oo,.ooo,ranged,,,0.0,0.0,,,1,0, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 50% of remaining {{Burn2}} on Enemy in Front as DMG, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 100% of remaining {{Burn2}} on Enemy in Front as DMG,,{{DoTBombDesc}},Run,inf,inf,Wanderer,Backdraft,Runaway
275,Smokescreen,oooo,ooo.,ranged,,,0.05,0.1,,,1,0,"{{Blind}}, {{Combo}}","{{Blind|2}}, {{Vuln}}, {{Combo}}",,,Run,inf,inf,Arsonist,Smokescreen,Runaway
276,Run and Hide,oooo,self,buff,,,0.0,0.0, {{Regen|3}}<br>{{Stealth2|2}}<br>{{Move2|back|1}}, {{Regen|3}}<br>{{Stealth2|2}}<br>Remove {{DoT2}}<br>{{Move2|back|1}},2,0,,,,,Run,inf,inf,Arsonist,Run and Hide,Runaway
278,Hearthlight,oooo,o-o-o-o,buff,,,0.0,0.0,, {{Blind|ignore}}<br /> Allies: {{Blind|remove}},1,0, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}<br /> {{Combo}} (25%),,,Run,inf,inf,Arsonist,Hearthlight,Runaway
282,Cauterize,ooo.,oooo,heal,,,0.0,0.0,,,0,0, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|25%}}, Requires {{Bleed2}}<br /> Remove {{Bleed2}}<br /> {{HP2|heal|33%}},,,Run,3.0,inf,Arsonist,Cauterize,Runaway
290,Firestarter,oooo,oooo,buff,,,0.0,0.0,,,2,0," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|2}} (3 Turns)"," {{Buff2}} <span class""buff-dd2"">Apply On Hit:</span> {{Burn2|3}} (3 Turns)",Ally,,Run,2.0,inf,Arsonist,Firestarter,Runaway
292,Backdraft,..oo,.ooo,ranged,,,0.0,0.0,,,1,0, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 50% of remaining {{Burn2}} on Enemy in Front as DMG, Requires Enemy in Front {{Burn2}}<br>Ignores {{Guard2}}<br>Deals 100% of remaining {{Burn2}} on Enemy in Front as DMG,,{{DoTBombDesc}},Run,inf,inf,Arsonist,Backdraft,Runaway
275,Smokescreen,oooo,ooo.,ranged,,,0.05,0.1,,,1,0,"{{Blind}}, {{Combo}}","{{Blind|2}}, {{Vuln}}, {{Combo}}",,,Run,inf,inf,Survivor,Smokescreen,Runaway
278,Hearthlight,oooo,o-o-o-o,buff,,,0.0,0.0,, {{Blind|ignore}}<br /> Allies: {{Blind|remove}},1,0, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}, Ignores {{Dodge}}{{Stealth2}}<br /> {{Stealth2|remove}}<br /> {{Combo}} (25%),,,Run,inf,inf,Survivor,Hearthlight,Runaway
